Country,Year,Young Age Dependency Ratio,Retirement Age Dependency Ratio,SDG Region,Population,Male Population Ratio,Urban Population Ratio,Total Area (sq km),GDP_per_Capita,Life Expectancy,Infant mortality per 1000 live births,BMI,BMI Female,BMI Male
Malaysia,2016,35.7760010109633,8.78156085070216,Eastern and South-Eastern Asia,31526418,51.2962208392974,74.84,330713.0,9555.66959336559,75.289,6.6706,25.7,26.1,25.3
Maldives,2016,30.8485021569541,5.70878864855927,Central and Southern Asia,454252,57.61537648706,38.954,300.0,9708.14134853645,79.872,7.4736,25.5,26.3,24.6
Mali,2016,97.6245070024829,5.31098711497142,Sub-Saharan Africa,18700106,50.5125960248568,40.783,1240190.0,750.051809102295,58.731,72.057,23.0,23.1,22.9
Malta,2016,20.0265196092734,27.6001698811156,Europe and Northern America,455356,50.7730300082317,94.48,320.0,25623.9416320597,82.4536585365854,7.1948,27.1,26.3,27.7
Marshall Islands,2016,60.8088210115399,4.68445022771633,Oceania,48329,51.1866581141758,76.228,180.0,4156.93912680937,64.057,27.1637,29.6,30.4,28.8
Mauritania,2016,82.1927819943935,6.5483105536711,Sub-Saharan Africa,4051890,48.8478463136956,51.962,1030700.0,1579.20071673512,64.768,37.7771,24.9,26.6,23.2
Mauritius,2016,26.67721118,13.7893779774542,Sub-Saharan Africa,1263747,49.4951352913763,40.91,2007.0,9965.72531085228,74.3948780487805,12.1204,25.2,25.9,24.6
Mexico,2016,41.3071373111875,10.9613150444952,Latin America and the Caribbean,121519221,48.9549130667979,79.577,1964375.0,9152.73722379028,74.412,13.062,28.0,28.4,27.5
Micronesia (country),2016,51.849016265565,6.94247825961344,Oceania,109925,50.3870821014328,22.526,700.0,2956.56129178986,71.595,23.3771,29.7,31.4,28.1
Moldova,2016,26.7076081569308,16.9661679164892,Europe and Northern America,2803186,47.559798494507,42.511,33850.0,2847.08794770479,69.917,12.9854,27.0,27.3,26.6
Mongolia,2016,45.0135899741945,5.8533497867136,Eastern and South-Eastern Asia,3029555,49.698156990053,68.297,1564120.0,3690.75677759847,69.865,15.1517,26.2,26.6,25.9
Montenegro,2016,27.4415198380218,21.4939425704945,Europe and Northern America,622303,48.7692336845297,66.141,13810.0,7033.43962398373,76.4414634146341,3.4294,26.5,26.1,27.0
Morocco,2016,42.087791691344,9.207595560007,Northern Africa and Western Asia,35107264,50.3173246425583,61.36,446550.0,3132.9521484375,73.284,18.9223,26.0,26.5,25.4
